""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Mar 09,2023"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,346847,260672,1421335,251430,2283038,1757318,2270618,2141685,1006957,399513,662904,500077,7215008,6087385
DII,47854,20991,52940,1519976,401,25653,0,0,0,0,57948,0,126848,1598915
FII,35670,138738,1147058,1018203,454779,656238,342188,280682,33966,35942,53146,30004,2363653,1862961
Pro,38407,48377,329133,160857,721794,708214,847206,725057,326081,368575,593006,273949,2492204,2648451
TOTAL,468778,468778,2950466,2950466,3460011,3147423,3460011,3147423,1367004,804030,1367004,804030,12197712,12197712
