""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Mar 15,2023"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,387838,266406,1447275,233799,5994809,3063844,5609845,3465695,1243934,385557,778066,536722,12523256,10890533
DII,83490,21547,61559,1541835,2201,27713,0,0,0,0,68594,0,174963,1631976
FII,22389,166161,1137417,1077037,914718,929426,767050,477527,36313,44085,61299,32472,3084348,2581546
Pro,33078,72681,369061,162641,1432013,1030816,1966846,1108576,346969,432535,719257,292983,3644472,4322984
TOTAL,526795,526795,3015312,3015312,8343740,5051798,8343740,5051798,1627216,862177,1627216,862177,19427038,19427038
