""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Mar 08,2023"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,323984,260185,1398071,246465,3493053,4444655,3649552,4430582,902631,409326,624738,481400,10971720,9692921
DII,46352,22386,51645,1526957,401,25653,0,0,0,0,54206,0,124051,1603549
FII,39068,117732,1159827,991648,723239,969561,492944,628940,33799,30763,46343,28686,2956257,2306293
Pro,38261,47362,315531,160004,972972,1132382,1047169,1512729,319992,338726,531135,268729,3117864,3567128
TOTAL,447665,447665,2925074,2925074,5189664,6572250,5189664,6572250,1256422,778815,1256422,778815,17169890,17169890
