""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Mar 10,2023"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,361147,261091,1427254,252527,3801429,2481972,3654456,2896283,1093367,388038,698229,516491,9553207,8279076
DII,55859,22121,55264,1519876,401,25653,0,0,0,0,63286,0,137177,1605283
FII,28873,149760,1137937,1044627,654663,792218,550423,381290,34681,38478,53624,30356,2686850,2210080
Pro,37901,50808,351929,155354,1043425,914108,1295039,936379,326468,395682,639377,275351,3069513,3352307
TOTAL,483780,483780,2972384,2972384,5499917,4213951,5499917,4213951,1454516,822198,1454516,822198,15446746,15446746
