""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Mar 13,2023"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short	,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts	,Total Short Contracts
Client,376458,258589,1429989,242311,5429363,2685482,5081204,3119001,1164186,378469,727125,522274,11463947,9950503
DII,60382,23692,57686,1521037,401,27713,0,0,0,0,65474,0,146182,1610203
FII,29991,158397,1132850,1066430,853012,867105,688583,427016,35316,40469,56457,31588,2958743,2428471
Pro,34694,60847,365291,156038,1371171,977065,1884160,1011348,332122,416540,682568,281616,3496883,4076577
TOTAL,501525,501525,2985816,2985816,7653946,4557364,7653946,4557364,1531624,835478,1531624,835478,18065753,18065753
